,0,1,2,3,4,5,6,7,8,9,wt_count
0,chr4,25814204,25814705,.,29.2702,*,29.2702,-1,-1,250,2.471658
1,chr13,100088520,100089021,.,29.2702,*,29.2702,-1,-1,250,3.3349097
2,chr20,45705151,45705652,.,9.96289,*,9.96289,-1,-1,250,2.35648
3,chr7,21869717,21870218,.,6.05878,*,6.05878,-1,-1,250,2.4987102
4,chr4,25368207,25368708,.,40.1234,*,40.1234,-1,-1,250,2.2699013
5,chr10,80455076,80455577,.,9.96289,*,9.96289,-1,-1,250,2.9652922
6,chr4,148953966,148954467,.,4.1612,*,4.1612,-1,-1,250,2.4750981
7,chr14,80987368,80987869,.,8.06111,*,8.06111,-1,-1,250,2.569963
8,chr11,64245633,64246134,.,19.1267,*,19.1267,-1,-1,250,2.3320184
9,chr11,101914734,101915235,.,57.3991,*,57.3991,-1,-1,250,3.5633545
10,chr8,46962352,46962853,.,51.5255,*,51.5255,-1,-1,250,2.1590395
11,chr3,175150705,175151206,.,27.5249,*,27.5249,-1,-1,250,2.242467
12,chr10,4541201,4541702,.,14.3978,*,14.3978,-1,-1,250,1.9966377
13,chr5,127479485,127479986,.,4.1612,*,4.1612,-1,-1,250,2.2466877
14,chr8,115668777,115669278,.,57.3991,*,57.3991,-1,-1,250,3.4201927
15,chr2,200939256,200939757,.,27.5249,*,27.5249,-1,-1,250,2.2489367
16,chr3,43690133,43690634,.,9.96289,*,9.96289,-1,-1,250,3.5026035
17,chr5,136249630,136250131,.,14.3978,*,14.3978,-1,-1,250,2.5923464
18,chr15,42268805,42269306,.,24.0967,*,24.0967,-1,-1,250,2.2741253
19,chr3,135855776,135856277,.,5.90541,*,5.90541,-1,-1,250,2.3359163
20,chr19,50383882,50384383,.,131.718,*,131.718,-1,-1,250,3.961141
21,chr11,86592834,86593335,.,17.5213,*,17.5213,-1,-1,250,2.2087522
22,chr2,238203468,238203969,.,59.3795,*,59.3795,-1,-1,250,3.7857707
23,chr13,97976680,97977181,.,22.4159,*,22.4159,-1,-1,250,3.536735
