,0,1,2,3,4,5,WT,negative_control,test
0,chr1,858937,858947,Nkx2.1.Homeobox_182,.,+,3.2457986,3.4189248,3.2554214
1,chr1,859002,859012,Nkx2.1.Homeobox_182,.,-,3.1930234,3.3268447,3.191709
2,chr1,1612099,1612109,Nkx2.1.Homeobox_182,.,-,2.8523643,3.3978238,2.872086
3,chr1,1612262,1612272,Nkx2.1.Homeobox_182,.,-,2.7667954,3.465055,2.7902818
4,chr1,1693231,1693241,Nkx2.1.Homeobox_182,.,+,5.4393907,4.798383,5.430608
5,chr1,1692939,1692949,Nkx2.1.Homeobox_182,.,-,5.352919,5.0138164,5.3506575
6,chr1,2258600,2258610,Nkx2.1.Homeobox_182,.,-,3.551754,3.6463768,3.590281
7,chr1,5651947,5651957,Nkx2.1.Homeobox_182,.,-,3.2337077,3.251999,3.2118347
8,chr1,5986177,5986187,Nkx2.1.Homeobox_182,.,+,3.3613567,3.420974,3.2793107
9,chr1,6584283,6584293,Nkx2.1.Homeobox_182,.,-,2.9364681,3.4179757,2.9521534
10,chr1,6926026,6926036,Nkx2.1.Homeobox_182,.,+,3.0013604,3.0364456,3.077149
11,chr1,7976229,7976239,Nkx2.1.Homeobox_182,.,-,3.1691716,3.3512402,3.184473
12,chr1,8312171,8312181,Nkx2.1.Homeobox_182,.,-,2.9918134,3.2438297,2.9922335
13,chr1,8620205,8620215,Nkx2.1.Homeobox_182,.,+,3.0551689,3.195858,3.0494437
14,chr1,8661932,8661942,Nkx2.1.Homeobox_182,.,-,3.019038,3.1338334,3.0339475
15,chr1,8879445,8879455,Nkx2.1.Homeobox_182,.,-,4.224089,4.639592,4.243342
16,chr1,9303309,9303319,Nkx2.1.Homeobox_182,.,+,3.633331,3.117908,3.636684
17,chr1,10438744,10438754,Nkx2.1.Homeobox_182,.,-,3.1117158,3.5187507,3.1688647
18,chr1,11929768,11929778,Nkx2.1.Homeobox_182,.,-,2.7585967,3.2985046,2.7570248
19,chr1,12125137,12125147,Nkx2.1.Homeobox_182,.,+,3.4969196,3.7445877,3.5041547
20,chr1,12282885,12282895,Nkx2.1.Homeobox_182,.,+,2.953395,3.2564251,2.9582255
21,chr1,12454851,12454861,Nkx2.1.Homeobox_182,.,+,3.3251455,3.119306,3.3206825
22,chr1,12706130,12706140,Nkx2.1.Homeobox_182,.,+,3.1792877,3.1584632,3.2256684
23,chr1,13601310,13601320,Nkx2.1.Homeobox_182,.,+,2.9483178,3.2973728,2.9526813
24,chr1,13771330,13771340,Nkx2.1.Homeobox_182,.,-,3.2732782,3.2443213,3.2879226
25,chr1,14081694,14081704,Nkx2.1.Homeobox_182,.,+,2.8979006,3.199831,2.8988616
26,chr1,14096665,14096675,Nkx2.1.Homeobox_182,.,+,2.8239796,3.1806684,2.8412316
27,chr1,14313509,14313519,Nkx2.1.Homeobox_182,.,+,3.3603098,3.1736152,3.411689
28,chr1,15833511,15833521,Nkx2.1.Homeobox_182,.,+,3.4057407,3.9722595,3.4411576
29,chr1,15976044,15976054,Nkx2.1.Homeobox_182,.,+,4.6123815,4.318622,4.564659
30,chr1,16378160,16378170,Nkx2.1.Homeobox_182,.,+,2.9624462,3.3771996,2.9587274
31,chr1,19203659,19203669,Nkx2.1.Homeobox_182,.,+,3.1635566,3.2689953,3.1161292
32,chr1,19203879,19203889,Nkx2.1.Homeobox_182,.,+,3.1827636,3.2595868,3.2034745
33,chr1,23122228,23122238,Nkx2.1.Homeobox_182,.,+,2.9352155,3.307242,2.9506974
34,chr1,23340283,23340293,Nkx2.1.Homeobox_182,.,+,3.055074,3.113214,3.0725174
35,chr1,24780104,24780114,Nkx2.1.Homeobox_182,.,+,2.8208723,3.285558,2.8652585
36,chr1,25233391,25233401,Nkx2.1.Homeobox_182,.,-,3.781593,3.7567468,3.7829158
37,chr1,25486895,25486905,Nkx2.1.Homeobox_182,.,+,2.9979026,3.147515,3.0080605
38,chr1,25822093,25822103,Nkx2.1.Homeobox_182,.,+,3.1064596,3.3493247,3.129343
39,chr1,25823305,25823315,Nkx2.1.Homeobox_182,.,+,2.896594,3.200611,2.9273634
40,chr1,25842196,25842206,Nkx2.1.Homeobox_182,.,+,2.8959055,3.2591882,2.8944108
41,chr1,25842257,25842267,Nkx2.1.Homeobox_182,.,-,2.9013166,3.3777676,2.9191866
42,chr1,26728806,26728816,Nkx2.1.Homeobox_182,.,-,3.1622422,3.3358216,3.1742024
43,chr1,27044858,27044868,Nkx2.1.Homeobox_182,.,+,3.9111905,3.41956,3.8943298
44,chr1,27279952,27279962,Nkx2.1.Homeobox_182,.,+,2.7414627,3.2013688,2.7537205
45,chr1,27451509,27451519,Nkx2.1.Homeobox_182,.,+,2.925703,3.3738647,2.9129896
46,chr1,27568381,27568391,Nkx2.1.Homeobox_182,.,+,4.0354676,3.5835712,4.0614934
47,chr1,27934952,27934962,Nkx2.1.Homeobox_182,.,+,3.355275,3.3050303,3.3600059
48,chr1,28075349,28075359,Nkx2.1.Homeobox_182,.,+,3.0721934,3.055249,3.0711117
49,chr1,28078173,28078183,Nkx2.1.Homeobox_182,.,+,2.9826198,3.377472,2.9945347
50,chr1,28643247,28643257,Nkx2.1.Homeobox_182,.,-,4.7364974,4.1041603,4.7661514
51,chr1,28648900,28648910,Nkx2.1.Homeobox_182,.,+,3.8793106,4.1213083,3.8736858
52,chr1,28882109,28882119,Nkx2.1.Homeobox_182,.,-,3.7233446,3.4598923,3.7602947
53,chr1,28891492,28891502,Nkx2.1.Homeobox_182,.,+,2.791524,3.2904346,2.7809148
54,chr1,28961334,28961344,Nkx2.1.Homeobox_182,.,-,2.872148,3.398145,2.8808618
55,chr1,29197685,29197695,Nkx2.1.Homeobox_182,.,-,3.463084,3.2804399,3.4978309
56,chr1,29691565,29691575,Nkx2.1.Homeobox_182,.,+,3.2677867,3.3598104,3.28554
57,chr1,29691607,29691617,Nkx2.1.Homeobox_182,.,-,3.2846568,3.4127579,3.294255
58,chr1,30841148,30841158,Nkx2.1.Homeobox_182,.,-,3.2123332,3.1752641,3.2359192
59,chr1,32029104,32029114,Nkx2.1.Homeobox_182,.,+,3.0610762,3.3827636,3.0497022
60,chr1,32600288,32600298,Nkx2.1.Homeobox_182,.,+,3.1225426,3.2420135,3.1484432
61,chr1,33186332,33186342,Nkx2.1.Homeobox_182,.,-,2.8421116,3.1864107,2.863287
62,chr1,33472364,33472374,Nkx2.1.Homeobox_182,.,-,4.330886,3.6217582,4.2431087
63,chr1,33974480,33974490,Nkx2.1.Homeobox_182,.,-,3.500733,3.119062,3.5034416
64,chr1,35268553,35268563,Nkx2.1.Homeobox_182,.,-,3.7697363,3.7764683,3.803463
65,chr1,35269381,35269391,Nkx2.1.Homeobox_182,.,-,3.7045841,4.0834537,3.7339177
66,chr1,36017153,36017163,Nkx2.1.Homeobox_182,.,+,2.8922684,3.4065495,2.8773427
67,chr1,36280725,36280735,Nkx2.1.Homeobox_182,.,+,3.1769066,3.3259735,3.1802301
68,chr1,36297196,36297206,Nkx2.1.Homeobox_182,.,-,3.1389058,3.5162976,3.1171176
69,chr1,36993199,36993209,Nkx2.1.Homeobox_182,.,+,2.713949,3.0229115,2.7182357
70,chr1,38778088,38778098,Nkx2.1.Homeobox_182,.,+,3.269347,3.4459682,3.2809467
71,chr1,38778209,38778219,Nkx2.1.Homeobox_182,.,-,3.2285647,3.3314564,3.2571518
72,chr1,39116111,39116121,Nkx2.1.Homeobox_182,.,-,2.802391,3.0550961,2.8044689
73,chr1,39249102,39249112,Nkx2.1.Homeobox_182,.,+,2.8991637,3.1350987,2.9094868
74,chr1,39321091,39321101,Nkx2.1.Homeobox_182,.,+,2.9390638,3.2101707,2.9411788
75,chr1,39481600,39481610,Nkx2.1.Homeobox_182,.,+,3.0104833,3.2540689,3.000286
76,chr1,39662151,39662161,Nkx2.1.Homeobox_182,.,+,3.0702837,3.1637373,3.0854428
77,chr1,39702070,39702080,Nkx2.1.Homeobox_182,.,-,3.5064378,3.011662,3.4990208
78,chr1,39947208,39947218,Nkx2.1.Homeobox_182,.,-,3.1340628,3.164559,3.1467137
79,chr1,40140276,40140286,Nkx2.1.Homeobox_182,.,+,2.9445379,3.1848865,2.9527686
