,0,1,2,3,4,5,WT,negative_control,test
0,chr1,1847204,1847219,GATA3.Zf..DR4_103,.,-,2.5129495,2.5783305,2.4559026
1,chr1,6058643,6058658,GATA3.Zf..DR4_103,.,-,2.5083673,2.3879666,2.5557883
2,chr1,6158025,6158040,GATA3.Zf..DR4_103,.,-,2.3905554,2.5536475,2.4239135
3,chr1,7549599,7549614,GATA3.Zf..DR4_103,.,-,2.3820171,2.0878243,2.4354222
4,chr1,7975619,7975634,GATA3.Zf..DR4_103,.,+,2.2957885,2.5152364,2.2933333
5,chr1,8016812,8016827,GATA3.Zf..DR4_103,.,-,2.0553665,2.6164641,2.052956
6,chr1,8490447,8490462,GATA3.Zf..DR4_103,.,+,2.582303,2.4233718,2.5273175
7,chr1,8662032,8662047,GATA3.Zf..DR4_103,.,+,2.692083,2.4754653,2.6926663
8,chr1,9238647,9238662,GATA3.Zf..DR4_103,.,+,2.1602035,2.4051452,2.186118
9,chr1,9290485,9290500,GATA3.Zf..DR4_103,.,+,2.1817622,2.4245987,2.2115183
10,chr1,10211784,10211799,GATA3.Zf..DR4_103,.,-,2.6040287,3.1008492,2.6242123
11,chr1,10780167,10780182,GATA3.Zf..DR4_103,.,-,2.2826927,2.7413414,2.3226643
12,chr1,12476251,12476266,GATA3.Zf..DR4_103,.,+,2.4083278,2.6351209,2.4351103
13,chr1,26080112,26080127,GATA3.Zf..DR4_103,.,+,1.9877776,2.2388434,2.0250938
14,chr1,27115782,27115797,GATA3.Zf..DR4_103,.,-,2.4961736,2.5289702,2.491929
15,chr1,28073854,28073869,GATA3.Zf..DR4_103,.,+,1.7794386,2.3075175,1.8127788
16,chr1,28668360,28668375,GATA3.Zf..DR4_103,.,+,3.1398726,3.5197132,3.1171591
17,chr1,28680346,28680361,GATA3.Zf..DR4_103,.,+,1.9468442,2.5575707,1.9520979
18,chr1,31574386,31574401,GATA3.Zf..DR4_103,.,+,1.9734269,2.4070694,1.9939791
19,chr1,31956157,31956172,GATA3.Zf..DR4_103,.,-,2.3384957,2.745132,2.3832004
20,chr1,32072720,32072735,GATA3.Zf..DR4_103,.,+,3.657897,3.1018705,3.694814
21,chr1,32454918,32454933,GATA3.Zf..DR4_103,.,-,2.0551736,2.4418547,2.0360272
22,chr1,32520480,32520495,GATA3.Zf..DR4_103,.,-,2.54005,2.742311,2.5546837
23,chr1,33918720,33918735,GATA3.Zf..DR4_103,.,+,2.1798956,2.3175633,2.1812816
24,chr1,39361091,39361106,GATA3.Zf..DR4_103,.,-,2.237976,2.3284354,2.2604136
25,chr1,39544661,39544676,GATA3.Zf..DR4_103,.,+,2.3427567,2.4524457,2.3553057
26,chr1,40140384,40140399,GATA3.Zf..DR4_103,.,-,2.573085,2.408277,2.6544223
27,chr1,40531664,40531679,GATA3.Zf..DR4_103,.,-,2.9422326,2.8749719,2.9597764
28,chr1,41418885,41418900,GATA3.Zf..DR4_103,.,+,2.2443275,2.2754402,2.2444935
29,chr1,41484666,41484681,GATA3.Zf..DR4_103,.,+,2.4597015,2.4325662,2.4662225
30,chr1,45669921,45669936,GATA3.Zf..DR4_103,.,-,2.1321347,2.3091865,2.1548953
31,chr1,45670233,45670248,GATA3.Zf..DR4_103,.,-,2.0572448,2.40524,2.0649393
32,chr1,46246893,46246908,GATA3.Zf..DR4_103,.,+,3.1592426,3.2345586,3.1597784
33,chr1,46719790,46719805,GATA3.Zf..DR4_103,.,-,3.2083917,2.961363,3.2079399
34,chr1,47569930,47569945,GATA3.Zf..DR4_103,.,-,2.3513846,2.54282,2.4181166
35,chr1,48236981,48236996,GATA3.Zf..DR4_103,.,-,1.9271725,2.2771828,2.012744
36,chr1,48302810,48302825,GATA3.Zf..DR4_103,.,-,2.1473398,2.2181458,2.169708
37,chr1,49051907,49051922,GATA3.Zf..DR4_103,.,-,2.0864697,2.4644773,2.0618072
38,chr1,51841234,51841249,GATA3.Zf..DR4_103,.,-,1.9074146,2.4593077,1.9178126
